Timestamp, X-axis, Y-axis
11,-7.19,-10.19
12,-7.25,-10.44
13,-7.12,-10.5
14,-7.12,-10.38
15,-7.12,-10.44
16,-7.12,-10.44
17,-7.12,-10.56
18,-7.19,-10.44
19,-7.19,-10.44
20,-7.19,-10.44
21,-7.19,-10.44
22,-7.19,-10.44
23,-7.19,-10.44
24,-7.12,-10.44
25,-7.19,-10.44
26,-7.19,-10.44
27,-7.19,-10.44
28,-7.19,-10.44
29,-7.19,-10.44
30,-7.12,-10.44
31,-7.12,-10.44
32,-7.12,-10.44
33,-7.06,-10.44
34,-7,-10.44
35,-7,-10.44
36,-6.94,-10.5
37,-6.87,-10.69
38,-6.81,-10.63
39,-6.5,-10.75
40,0.06,-20.19
41,-0.56,-7.25
42,-0.5,-7.37
43,-0.5,-7.37
44,-0.5,-7.37
45,-0.5,-7.37
47,-0.5,-7.37
48,-0.62,-7.62
49,-0.62,-7.69
50,-0.62,-7.69
51,-0.62,-7.75
52,-0.62,-7.81
53,-0.62,-7.81
54,-0.62,-7.81
55,-0.62,-7.75
56,-0.62,-7.75
57,-0.62,-7.75
58,-0.62,-7.75
59,-0.62,-7.75
60,-0.56,-7.75
61,-0.62,-8
62,-46.31,70.12
63,-56.44,70.25
64,-30.81,73.69
65,-1.5,48.63
66,-5.06,-1.62
67,-23.69,15.44
68,-2.37,-4.56
69,-1.56,-6.44
70,-1.37,-7
71,-1.25,-7.37
72,-1.19,-7.56
73,-1.12,-7.62
74,-1.12,-7.62
75,-1.06,-7.81
76,-1.06,-7.87
77,-1.06,-7.87
78,-2.44,-7.06
79,-1,-7.31
80,-0.5,-8.19
81,36.94,60.25
82,69.56,68.44
83,-1.94,77.62
84,-175.81,85.56
85,0.31,-2.81
86,0.44,-2.87
87,0.44,-3
88,0.44,-3
89,0.5,-3.12
90,0.5,-3.12
91,0.5,-3.12
92,0.5,-3.12
93,0.5,-3.12
94,0.5,-3.12
95,0.5,-3.12
96,0.5,-3.12
97,0.5,-3.12
98,0.5,-3.12
99,0.5,-3.12
100,0.5,-3.12
101,0.5,-3.12
102,0.5,-3.12
103,0.5,-3.12
104,0.5,-3.12
105,0.44,-2.87
106,0.69,-3.19
107,0.56,-4.5
108,0.81,-4.62
109,0.88,-4.44
110,0.88,-4.44
111,0.88,-4.44
112,0.88,-4.44
113,0.81,-4.31
114,0.81,-4.31
115,0.81,-4.31
117,0.81,-4.31
118,0.69,-4.25
119,0.69,-4.25
120,0.69,-4.25
121,0.69,-4.25
122,0.69,-4.25
123,0.69,-4.25
124,0.69,-4.25
125,0.69,-4.25
126,0.69,-4.25
127,0.69,-4.25
128,0.69,-4.25
129,0.69,-4.25
130,0.69,-4.25
131,0.69,-4.25
132,0.69,-4.25
133,0.69,-4.25
134,0.69,-4.25
135,0.69,-4.25
136,0.69,-4.25
137,0.69,-4.25
138,0.69,-4.25
139,0.69,-4.25
140,0.69,-4.25
141,0.69,-4.25
142,0.69,-4.25
143,0.69,-4.25
144,0.69,-4.25
145,0.69,-4.25
146,0.69,-4.25
147,0.69,-4.25
148,0.69,-4
149,0.69,-4
150,0.69,-4
151,0.69,-4
152,0.69,-4
153,0.69,-4
154,0.69,-4
155,0.75,-3.87
156,0.75,-3.87
157,0.75,-3.94
158,0.75,-3.94
159,0.75,-3.94
160,0.75,-3.94
161,0.75,-3.94
162,0.75,-3.94
163,0.75,-3.94
164,0.75,-3.94
165,0.75,-3.94
166,0.75,-3.94
167,0.75,-3.94
168,0.75,-3.94
169,0.75,-3.94
170,0.75,-3.94
171,0.75,-3.94
172,0.75,-3.94
173,0.75,-3.94
174,0.75,-3.94
175,0.75,-3.94
176,0.75,-3.94
177,0.75,-3.94
178,0.75,-3.94
179,0.75,-3.94
180,0.75,-3.94
181,0.75,-3.94
182,0.75,-3.94
183,0.75,-3.94
184,0.75,-3.94
185,0.75,-3.94
186,0.75,-3.94
187,0.75,-3.94
188,0.75,-3.94
190,0.75,-3.94
191,0.75,-3.94
192,1,-3.44
193,1,-3.44
194,64.94,51.31
195,67.69,38
196,69.75,38.5
197,0.81,84.25
198,0.5,79.5
199,-56.44,77.25
200,-31.19,79.62
201,-47.56,81
202,-132.19,74.87
203,-144.56,53
204,-5.62,11.75
205,-2.25,3.44
206,-1.5,-0.69
207,-0.94,-1
208,-0.56,-1.25
209,-0.56,-1.25
210,-0.56,-1.25
211,-0.56,-1.25
212,-0.56,-1.25
213,-0.56,-1.25
214,-0.56,-1.25
215,-0.56,-1.25
216,-0.56,-1.25
217,-0.56,-1.25
218,-0.56,-1.25
219,-0.56,-1.25
220,-0.56,-1.25
221,-0.56,-1.25
222,-0.56,-1.25
223,-0.56,-1.25
224,-0.56,-1.25
225,-0.56,-1.25
226,-0.56,-1.25
227,-0.56,-1.25
228,-0.56,-1.25
229,-0.56,-1.25
230,-0.56,-1.25
231,-0.56,-1.25
232,-0.56,-1.25
233,-0.56,-1.25
234,-0.56,-1.25
235,-0.56,-1.25
236,-0.56,-1.25
237,-0.56,-1.25
238,-0.56,-1.25
239,-0.56,-1.25
240,-0.56,-1.25
241,-0.56,-1.25
242,-0.56,-1.25
243,-23.87,-3.69
244,-16.37,18.31
245,16.75,-5.44
246,4.31,-18.94
247,2.69,-24
248,2.69,-24.12
249,2.31,-24.69
250,2.19,-25.5
251,1.94,-25.44
252,1.75,-25.56
253,1.75,-25.37
254,9.19,-14.56
255,11.94,4.12
256,-9.19,-14.25
257,4.75,0.25
259,14.94,17.06
260,1.31,-2.31
261,1.06,-1.31
262,1.06,-1.31
263,1.06,-1.31
264,1.06,-1.31
265,1.06,-1.31
266,1.06,-1.31
267,1.06,-1.31
268,1.06,-1.31
269,1.06,-1.31
270,1.06,-1.31
271,1.06,-1.31
272,1.06,-1.31
273,1.06,-1.31
274,1.06,-1.31
275,1.06,-1.31
276,1.06,-1.31
277,1.06,-1.31
278,1.06,-1.31
279,1.06,-1.31
280,1.06,-1.31
281,1.06,-1.31
282,1.06,-1.31
283,1.06,-1.31
284,1.06,-1.31
285,1.06,-1.31
286,1.06,-1.31
287,1.06,-1.31
288,1.06,-1.31
289,1.06,-1.31
290,1.06,-1.31
291,1.06,-1.31
292,1.06,-1.31
293,1.06,-1.31
294,1.06,-1.31
295,1.06,-1.31
296,1.06,-1.31
297,1.06,-1.31
298,2.5,-1.87
299,2,-1.87
300,1.94,-1.81
301,1.94,-1.81
302,1.62,-1.94
303,1.31,-1.81
304,1.25,-1.87
305,1.25,-1.87
306,1.25,-1.87
307,1.25,-1.87
308,1.25,-1.87
309,1.25,-1.87
310,1.25,-1.87
311,0.94,0.19
312,1.12,-1.81
313,-13.62,20.75
314,1.44,-1.31
315,1.37,-1.44
316,1.37,-1.44
317,1.37,-1.44
318,1.37,-1.44
319,1.37,-1.44
320,1.37,-1.44
321,1.37,-1.44
323,1.37,-1.44
324,1.37,-1.44
325,1.37,-1.44
326,1.37,-1.44
327,1.37,-1.44
328,1.19,-1.31
329,1.25,-1.31
330,1.25,-1.31
331,1.25,-1.31
332,1.25,-1.31
333,1.31,-1.31
334,1.31,-1.31
335,1.31,-1.31
336,1.37,-1.31
337,1.37,-1.37
338,1.5,-1.44
339,2.31,-1.56
340,1.25,-1.25
341,1.06,-1.25
342,1.44,-1.31
343,-178.5,34.63
344,179.06,1.31
345,-178.69,2.25
346,-177.38,4
347,-87,76.94
348,-32.81,44.13
349,-32.25,27.56
350,-18.75,13
351,-9,2.12
352,-3.44,0.25
353,-14.81,5.69
354,-6.87,2.12
355,-5.56,1.5
356,-4.56,1.19
357,-4.62,1.06
358,-2.69,-2
359,-2.75,-1.94
360,-2.75,-1.94
361,-2.75,-1.94
362,-2.75,-1.94
363,-2.75,-1.94
364,-2.75,-1.94
365,-2.75,-1.94
366,-2.75,-1.94
367,-11.31,3.56
368,-17.19,17.56
369,-7.69,9.75
370,-7.5,20.12
371,-20.88,52.5
372,-3.69,52.69
373,-22.13,61.13
374,-34.63,70.19
375,-39.75,69.87
376,-31.37,68.87
377,-31.37,69.31
378,-28.81,67.81
379,-37.75,68.56
380,-34.81,70
381,-40.69,73.31
382,-28.69,71.75
383,-22.31,69.81
384,-23.44,70.19
385,-13.5,65.75
386,-12.19,66.62
387,-9.69,66.12
388,-12.94,67.12
389,-9.06,63.75
390,-6,62
391,3.06,28.31
392,-0.25,6.25
393,0.25,2.62
394,-1.69,4.5
395,-2.25,9.31
396,-1,3.19
397,-7.31,35
398,-34.13,67.31
399,-44.5,68.25
400,-40.88,65.5
401,-38.38,65.19
402,-37,61.56
403,-37.25,62.31
404,-37.25,61.88
406,-36.56,61.88
407,-59.69,64.37
408,-45.25,62.62
409,-47.13,63.44
410,-46.63,61.13
411,-49.44,62
412,-9.56,31
413,-8.81,9.94
414,-28.38,67.5
415,-24.06,52.06
416,-8,70.31
417,-9.69,57.31
418,-13.38,31.12
419,-8.19,-4.69
420,-8.69,-12.31
421,-6.37,-14
422,-4.06,-15.69
423,-5.62,-19.69
424,-4.06,-17.25
425,-8.19,-20.44
426,-6,-7.12
427,1.06,-3.69
428,0.69,-4.12
429,4.87,-1.19
430,0,-8.81
431,-10.81,-23.81
432,-8.81,-20.5
433,-7.56,-22.94
434,-21.87,-34.94
435,-30.88,-37.13
436,-26.62,-16.69
437,-24.19,9.56
438,-9.38,1.25
439,-12.94,-1.06
440,-21.06,3.25
441,-26.94,-11
442,-27.94,-16.75
443,-33,-13.13
444,-35.94,-12.63
445,-28.12,-18.44
446,-22.87,-22.94
447,-27.19,-20.37
448,-26,-22
449,-32.19,-19.31
450,-22.25,16.19
451,-27,-3.62
452,-24.5,8.19
453,-20.88,4
454,-49.69,45.81
455,-100.87,58.13
456,-81.75,55.06
457,-67.37,48.31
458,-63.44,47.62
459,-74.25,50.06
460,-73.69,44
461,-72.87,46.88
462,-68.56,45.31
463,-61.75,44.81
464,-65.81,47.88
465,-21.25,4.25
466,-32.44,11.88
